"dia","dieta","n","mean","sd","sem","freq","signif"
12,"Dbp7pMr",8,27.356489975,22.8250462570214,8.06987249461824,663.699049526771,1
12,"Dp23p",8,7.77514405,7.35717489832123,2.60115413048919,346.106237608384,1
13,"Dbp7p",8,14.08871569875,17.2558568013001,6.10086667969165,448.507011327146,0
13,"Dbp7pMb",8,16.627172115,8.90849778110843,3.14962959560354,489.678619972281,0
13,"Dbp7pMm",8,29.89986237125,17.7229710395633,6.266016502424,704.950391195239,0
13,"Dbp7pMr",8,28.3981566375,24.9651547284599,8.8265151009327,680.593998714234,0
13,"Dp23p",8,9.5980607125,9.18031000847421,3.24572973019342,375.67239873713,0
14,"Dbp7p",8,12.809098765,13.8384203898712,4.89262044929404,427.75271069201,0
14,"Dbp7pMb",8,18.6286602125,10.6046316305155,3.74930346896142,522.141058220442,0
14,"Dbp7pMm",8,27.57572814625,15.5849745979674,5.51012061142142,667.254906593687,0
14,"Dbp7pMr",8,28.9663384625,24.6306807718953,8.70826069952413,689.809425691206,0
14,"Dp23p",8,10.25595544875,8.56198118035808,3.0271174765114,386.342892993869,0
15,"Dbp7p",8,12.82608943,17.6523439614814,6.24104605950044,428.028284858075,0
15,"Dbp7pMb",8,18.6286602125,10.6046316305155,3.74930346896142,522.141058220442,0
15,"Dbp7pMm",8,29.66176712125,16.8269253247654,5.94921650183062,701.088688315287,0
15,"Dbp7pMr",8,29.226755125,26.9744306869543,9.53690142869595,694.033162937387,0
15,"Dp23p",8,14.7514993875,14.8220756712152,5.24039510918821,459.256800244107,0
16,"Dbp7p",8,13.26800862375,17.2338408990613,6.09308288280817,435.195839117181,0
16,"Dbp7pMb",8,21.0300028125,9.8348357915624,3.47713954003497,561.088797136577,0
16,"Dbp7pMm",8,29.66176712125,16.8269253247654,5.94921650183062,701.088688315287,0
16,"Dbp7pMr",8,29.3214521,24.0835413405977,8.51481769846159,695.569067501129,0
16,"Dp23p",8,18.27331142375,16.1298826728666,5.70277470886369,516.377602456821,0
17,"Dbp7p",8,12.5351364375,19.0112993231444,6.72150933528132,423.30927425594,0
17,"Dbp7pMb",8,21.226877025,10.5178075107491,3.71860650703276,564.281929773198,0
17,"Dbp7pMm",8,32.16920759625,19.3821793797753,6.85263523680659,741.757244717046,0
17,"Dbp7pMr",8,32.6613318625,27.2144106533046,9.62174715947357,749.739082642297,0
17,"Dp23p",8,18.3548331625,16.05090248154,5.67485099443046,517.699815870611,0
18,"Dbp7p",8,11.73913290625,18.4965145783668,6.53950544333949,410.398772559328,0
18,"Dbp7pMb",8,21.8629647875,10.7517308527983,3.80131089775314,574.598733423622,0
18,"Dbp7pMm",8,35.24482989625,21.7581855809321,7.69268028529621,791.641228095778,0
18,"Dbp7pMr",8,33.134816725,29.7790053589743,10.5284683131606,757.418605258267,0
18,"Dp23p",8,18.2280215625,19.7744954846606,6.99133992587314,515.643039345538,0
19,"Dbp7p",8,16.43914304875,19.8863498729861,7.03088642411835,486.628948100824,0
19,"Dbp7pMb",8,21.752670675,9.71937471268154,3.43631788411508,572.809856527157,0
19,"Dbp7pMm",8,35.0070581625,21.0861912963519,7.45509442752359,787.784772374828,0
19,"Dbp7pMr",8,32.7130917,27.212664833913,9.6211299191083,750.578583277188,0
19,"Dp23p",8,19.7110049225,17.5526990310306,6.20581625648414,539.69577081428,0
20,"Dbp7p",8,15.8956647875,20.3187137821003,7.18375015015585,477.814191961588,0
20,"Dbp7pMb",8,21.752670675,9.71937471268154,3.43631788411508,572.809856527157,0
20,"Dbp7pMm",8,34.46357989625,21.7778410960154,7.69962955929778,778.970016154496,0
20,"Dbp7pMr",8,33.25656995,26.8040626464928,9.47666723034204,759.393339233959,0
20,"Dp23p",8,20.4054493725,17.2714979895418,6.1063966748274,550.959070407749,0
21,"Dbp7p",8,16.21289871,17.82185648598,6.30097778728495,482.959456943299,0
21,"Dbp7pMb",8,22.9211489375,9.91962659126685,3.50711761476159,591.761582239693,0
21,"Dbp7pMm",8,35.0070581625,21.0861912963519,7.45509442752359,787.784772374828,0
21,"Dbp7pMr",8,36.6893351125,30.0512561852309,10.6247235158755,815.069876729879,0
21,"Dp23p",8,23.00067725,19.4348196787808,6.87124639300184,593.051463971559,0
22,"Dbp7p",8,17.74261899125,19.6978082513343,6.96422689451542,507.770221608383,0
22,"Dbp7pMb",8,23.03144305,9.8898593250336,3.49659329685614,593.550459136158,0
